name,gender,social_status,allegiance_switched,time.hrs,died,death_description
Yezzan zo Qaggaz,male,lowborn,1,25,0,NA
Unella,female,lowborn,1,24.51,0,NA
Thin man,male,lowborn,1,24.37,0,NA
Karsi,female,lowborn,1,0.33,1,Ravaged by pack of wight children at Hardhome
Loboda,male,lowborn,1,0.28,1,Stabbed through the torso with a spear by a white walker inside a hut at Hardhome
Dim Dalba,male,lowborn,1,9.51,1,Presumed killed in the Battle of Bastards in a field near Winterfell
Johnna,Female,lowborn,1,23.89,0,NA
Willa,Female,lowborn,1,23.89,0,NA
Brusco,male,lowborn,1,23.3,0,NA
Brea,Female,lowborn,1,23.28,0,NA
Aya,Female,lowborn,1,23.26,0,NA
Anara,Female,lowborn,1,23.24,0,NA
Simpson,male,lowborn,1,0.01,1,Stabbed in the neck with a dagger by Stannis Baratheon in the forest near Winterfell
Gordy,male,lowborn,1,0.01,1,Stabbed in stomach with a sword by Stannis Baratheon in the forest near Winterfell
Scolera,Female,lowborn,1,7.93,1,Burned alive in a wildfire explosion in the Great Sept of Baelor
Moelle,female,lowborn,1,7.93,1,Burned alive in a wildfire explosion in the Great Sept of Baelor
Maester Wolkan,male,lowborn,1,21.77,0,NA
Caleotte,male,lowborn,1,0.01,1,Dagger thrown into the neck at Water Gardens castle grounds
Zanrush,male,lowborn,1,21.43,0,NA
Aggo 2,male,lowborn,1,2.18,1,"Stabbed in the back with a knife by Daario Naharis, then bludgeoned to death with a rock in the city streets of Vaes Dothrak"
Qhono,male,lowborn,1,17.3,1,Killed by during the Battle of Winterfell
Moro,male,lowborn,1,2.63,1,Burnt to death inside a Dothraki temple in a fire started by Daenerys Targaryen
Moro's wife 1,female,lowborn,1,21.31,0,NA
Moro's wife 2,female,lowborn,1,21.31,0,NA
Harald Karstark,Male,highborn,2,6.26,1,Killed during the Battle of the Bastards
Euron Greyjoy,Male,highborn,2,18.87,1,Stabbed in the abdomen by Jaime Lannister during the Battle of King's Landing
Aeron Greyjoy,Male,highborn,1,20.49,0,NA
High Priestess of the Dosh Khaleen,female,lowborn,1,20.03,0,NA
Ornela,female,lowborn,2,20.02,0,NA
Frances,female,lowborn,2,19.89,0,NA
Arthur,male,lowborn,1,19.88,0,NA
Small Jon Umber,Male,highborn,2,5.05,1,Bitten in the jugular vein then stabbed in the neck and chest by Tormund Giantsbane in a field near Winterfell
Belicho Paenymion,Male,highborn,1,4.14,1,Throat slit with a knife by Grey Worm at the cliffs of Meereen
Ash,male,lowborn,2,19.31,0,NA
Kesh,male,lowborn,2,19.31,0,NA
Iggo,male,lowborn,1,0.02,1,Neck broken by Daario Naharis in the city streets of Vaes Dothrak
Forzho,male,lowborn,1,0.09,1,Burnt to death inside a Dothraki temple in a fire started by Daenerys Targaryen
Brozho,male,lowborn,1,0.09,1,Burnt to death inside a Dothraki temple in a fire started by Daenerys Targaryen
Qorro,male,lowborn,1,0.09,1,Burnt to death inside a Dothraki temple in a fire started by Daenerys Targaryen
Rhalko,male,lowborn,1,0.09,1,Burnt to death inside a Dothraki temple in a fire started by Daenerys Targaryen
Izembaro,male,lowborn,1,18.53,0,NA
Clarenzo,male,lowborn,1,18.52,0,NA
Crane,female,lowborn,1,3.05,1,Throat slit by the Waif over a chair in her own house in Braavos
Bobono,male,lowborn,1,18.52,0,NA
Camello,male,lowborn,1,18.51,0,NA
Bianca,Female,lowborn,1,18.49,0,NA
Kinvara,Female,lowborn,1,18.2,0,NA
Talla Tarly,female,highborn,1,17.66,0,NA
Melessa Tarly,female,highborn,1,17.66,0,NA
Dickon Tarly,Male,highborn,1,7.75,1,Burnt to death by dragon fire after the Battle of the Gold Road
Randyll Tarly,Male,highborn,2,7.75,1,Burnt to death by dragon fire after the Battle of the Gold Road
Kitty Frey,female,highborn,1,17.18,0,NA
Ray,male,lowborn,1,0.74,1,Hanged by members of the Brotherhood Without Banners in a field in the Riverlands
Lyanna Mormont,female,highborn,1,12.31,1,Crushed by a wight giant during the Battle of Winterfell
Robett Glover,Male,highborn,1,16.53,0,NA
Morgan,male,lowborn,1,0.24,1,Throat slit with an axe by Sandor Clegane on a road in a forest in the Riverlands
Gatins,male,lowborn,1,0.25,1,Axe in the groin then in the head by Sandor Clegane on a road in a forest in the Riverlands
Lem,male,lowborn,1,0.85,1,Hanged by Sandor Clegane on a road in a forest in the Riverlands
Steve,male,lowborn,1,0.02,1,Decapitated with an axe by Sandor Clegane on a road in a forest in the Riverlands
Riddell,male,lowborn,1,0.02,1,Stabbed in the chest with an axe by Sandor Clegane on a road in a forest in the Riverlands
Red Priestess 2,Female,lowborn,1,16.11,0,NA
Citadel maester,male,lowborn,1,14.02,0,NA
Wyman Manderly,Male,highborn,1,13.56,0,NA
Cley Cerwyn,Male,highborn,1,13.56,0,NA
Alys Karstark,female,highborn,1,13.27,0,NA
Ned Umber,Male,highborn,2,7.3,1,Killed by the Army of the Dead at Last Hearth
Ebrose,male,lowborn,1,12.97,0,NA
Harrag,male,lowborn,1,11.53,0,NA
Henk,male,lowborn,1,10.54,0,NA
Koner,male,lowborn,1,10.54,0,NA
Harry Strickland,male,lowborn,1,4.57,1,Skewered in the back with a spear by Grey Worm during the Battle of King's Landing
Craya,Female,lowborn,1,6.42,0,NA
Dirah,Female,lowborn,1,6.42,0,NA
Fergus,male,lowborn,1,5.56,0,NA
Fergus' Friend,male,lowborn,1,5.56,0,NA
Woman with Elderly Parents,female,lowborn,1,5.55,0,NA
Teela,female,lowborn,1,5.54,0,NA
Martha,female,lowborn,1,3.91,0,NA
Winterfell girl,female,lowborn,1,3.45,0,NA
Willa,female,lowborn,1,3.44,0,NA
Sarra,female,lowborn,1,3.44,0,NA
Nora,female,lowborn,1,0.86,1,Burned alive by Drogon during the Battle of King's Landing
Nora's Daughter,female,lowborn,1,0.86,1,Burned alive by Drogon during the Battle of King's Landing
Northern Sentry,male,lowborn,1,2.19,0,NA
Unsullied Sentry,male,lowborn,1,2.18,0,NA
Lannister Solider (Scorpion Command),male,lowborn,1,0.07,1,Burned alive by Drogon during the Battle of King's Landing
Lannister Soldier (Captain),male,lowborn,1,0.09,1,Spear in chest by Grey Worm during the Battle of King's Landing
Lannister Soldier,male,lowborn,1,0.09,1,Stabbed by Stark soldiers during the Battle of King's Landing
King's Landing Citizen ,female,lowborn,1,0,1,Throat slit by Stark soldier during the Battle of King's Landing
King's Landing Citizen (Boy),male,lowborn,1,1.73,0,NA
Rapist,male,lowborn,1,0,1,Stabbed in abdomen by Jon Snow during the Battle of King's Landing
Crying Man,male,lowborn,1,1.23,0,NA
Lannister Soldier,male,lowborn,1,1.22,0,NA
Unnamed Lord 1,Male,highborn,1,0.57,0,NA
Lord Une,Male,highborn,1,0.56,0,NA
Unnamed Northern Lord,Male,highborn,1,0.56,0,NA
Prince of Dorne,Male,highborn,1,0.56,0,NA
Unnamed Lord 2,Male,highborn,1,0.53,0,NA
Unsullied Lieutenant/Captain,male,lowborn,1,0.32,0,NA
